fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time
Paddy Holohan,Vaughan Lee,"July 18, 2015","Glasgow, Scotland, United Kingdom",Neil Hall,0,0,28,27,1,0,2,1,win,Paddy Holohan,Flyweight,U-DEC,3,5:00
Ilir Latifi,Hans Stringer,"July 18, 2015","Glasgow, Scotland, United Kingdom",Grant Waterman,1,0,7,2,0,0,0,0,win,Ilir Latifi,Light Heavyweight,KO/TKO Punch,1,0:56
Mickael Lebout,Teemu Packalen,"July 18, 2015","Glasgow, Scotland, United Kingdom",Leon Roberts,0,0,43,35,0,3,0,1,win,Mickael Lebout,Lightweight,U-DEC,3,5:00
Robert Whiteford,Paul Redmond,"July 18, 2015","Glasgow, Scotland, United Kingdom",Marc Goddard,1,0,20,11,0,0,0,0,win,Robert Whiteford,Featherweight,KO/TKO Punch,1,3:04
Jimmie Rivera,Marcus Brimage,"July 18, 2015","Glasgow, Scotland, United Kingdom",Neil Hall,1,0,15,9,0,0,0,0,win,Jimmie Rivera,Bantamweight,KO/TKO Punches,1,1:29
Daniel Omielanczuk,Chris de la Rocha,"July 18, 2015","Glasgow, Scotland, United Kingdom",Grant Waterman,1,0,15,1,0,0,0,0,win,Daniel Omielanczuk,Heavyweight,KO/TKO Punch,1,0:48
Frank Mir,Todd Duffee,"July 15, 2015","San Diego, California, USA",John McCarthy,1,0,16,9,0,0,0,0,win,Frank Mir,Heavyweight,KO/TKO Punch,1,1:13
Tony Ferguson,Josh Thomson,"July 15, 2015","San Diego, California, USA",Herb Dean,1,0,83,33,0,1,2,0,win,Tony Ferguson,Lightweight,U-DEC,3,5:00
Holly Holm,Marion Reneau,"July 15, 2015","San Diego, California, USA",Jason Herzog,0,0,65,26,1,0,0,0,win,Holly Holm,Women's Bantamweight,U-DEC,3,5:00
Manvel Gamburyan,Scott Jorgensen,"July 15, 2015","San Diego, California, USA",Herb Dean,1,0,42,36,5,1,2,0,win,Manvel Gamburyan,Bantamweight,U-DEC,3,5:00
Kevin Lee,James Moontasri,"July 15, 2015","San Diego, California, USA",John McCarthy,0,0,9,6,1,0,1,0,win,Kevin Lee,Lightweight,SUB Rear Naked Choke,1,2:56
Alan Jouban,Matt Dwyer,"July 15, 2015","San Diego, California, USA",Herb Dean,1,1,51,29,1,0,0,0,win,Alan Jouban,Welterweight,U-DEC,3,5:00
Sam Sicilia,Yaotzin Meza,"July 15, 2015","San Diego, California, USA",Jason Herzog,0,0,12,18,2,1,4,1,win,Sam Sicilia,Featherweight,U-DEC,3,5:00
Jessica Andrade,Sarah Moras,"July 15, 2015","San Diego, California, USA",John McCarthy,0,0,50,18,3,0,0,1,win,Jessica Andrade,Women's Bantamweight,U-DEC,3,5:00
Rani Yahya,Masanori Kanehara,"July 15, 2015","San Diego, California, USA",Jason Herzog,0,0,24,24,4,0,2,0,win,Rani Yahya,Bantamweight,S-DEC,3,5:00
Sean Strickland,Igor Araujo,"July 15, 2015","San Diego, California, USA",John McCarthy,1,0,71,39,3,0,2,0,win,Sean Strickland,Welterweight,U-DEC,3,5:00
Kevin Casey,Ildemar Alcantara,"July 15, 2015","San Diego, California, USA",Herb Dean,0,0,41,20,1,0,0,0,win,Kevin Casey,Middleweight,U-DEC,3,5:00
Lyman Good,Andrew Craig,"July 15, 2015","San Diego, California, USA",Jason Herzog,1,0,55,20,0,0,0,0,win,Lyman Good,Welterweight,KO/TKO Punch,2,3:37
Stephen Thompson,Jake Ellenberger,"July 12, 2015","Las Vegas, Nevada, USA",John McCarthy,2,1,20,5,1,0,0,0,win,Stephen Thompson,Welterweight,KO/TKO Kick,1,4:29
Kamaru Usman,Hayder Hassan,"July 12, 2015","Las Vegas, Nevada, USA",Herb Dean,0,0,15,3,6,0,1,0,win,Kamaru Usman,Welterweight,SUB Arm Triangle,2,1:19
Michael Graves,Vicente Luque,"July 12, 2015","Las Vegas, Nevada, USA",Yves Lavigne,0,0,27,28,7,0,0,1,win,Michael Graves,Welterweight,U-DEC,3,5:00
Jorge Masvidal,Cezar Ferreira,"July 12, 2015","Las Vegas, Nevada, USA",John McCarthy,1,0,12,7,0,1,0,0,win,Jorge Masvidal,Welterweight,KO/TKO Elbow,1,4:22
Michelle Waterson-Gomez,Angela Magana,"July 12, 2015","Las Vegas, Nevada, USA",Herb Dean,0,0,47,8,3,1,4,1,win,Michelle Waterson-Gomez,Women's Strawweight,SUB Rear Naked Choke,3,2:38
Maximo Blanco,Mike de la Torre,"July 12, 2015","Las Vegas, Nevada, USA",Yves Lavigne,1,0,4,1,0,0,0,0,win,Maximo Blanco,Featherweight,KO/TKO Punch,1,0:16
Josh Samman,Caio Magalhaes,"July 12, 2015","Las Vegas, Nevada, USA",John McCarthy,0,0,12,3,0,0,1,0,win,Josh Samman,Middleweight,SUB Rear Naked Choke,1,2:52
Jerrod Sanders,Russell Doane,"July 12, 2015","Las Vegas, Nevada, USA",Herb Dean,0,1,15,13,3,1,3,3,win,Jerrod Sanders,Bantamweight,U-DEC,3,5:00
Trevor Smith,Dan Miller,"July 12, 2015","Las Vegas, Nevada, USA",Kim Winslow,0,0,51,25,1,0,0,1,win,Trevor Smith,Middleweight,U-DEC,3,5:00
George Sullivan,Dominic Waters,"July 12, 2015","Las Vegas, Nevada, USA",Yves Lavigne,0,0,54,13,2,5,3,0,win,George Sullivan,Welterweight,U-DEC,3,5:00
Willie Gates,Darrell Montague,"July 12, 2015","Las Vegas, Nevada, USA",Kim Winslow,1,0,19,4,0,0,0,0,win,Willie Gates,Flyweight,KO/TKO Punches,1,1:36
Conor McGregor,Chad Mendes,"July 11, 2015","Las Vegas, Nevada, USA",Herb Dean,1,0,46,31,0,4,0,0,win,Conor McGregor,Featherweight,KO/TKO Punch,2,4:57
Robbie Lawler,Rory MacDonald,"July 11, 2015","Las Vegas, Nevada, USA",John McCarthy,1,0,70,86,0,0,0,0,win,Robbie Lawler,Welterweight,KO/TKO Punch,5,1:00
Jeremy Stephens,Dennis Bermudez,"July 11, 2015","Las Vegas, Nevada, USA",Marc Goddard,2,0,38,35,0,1,0,0,win,Jeremy Stephens,Featherweight,KO/TKO Flying Knee,3,0:32
Gunnar Nelson,Brandon Thatch,"July 11, 2015","Las Vegas, Nevada, USA",Herb Dean,1,0,6,8,0,0,1,0,win,Gunnar Nelson,Welterweight,SUB Rear Naked Choke,1,2:54
Thomas Almeida,Brad Pickett,"July 11, 2015","Las Vegas, Nevada, USA",John McCarthy,1,1,24,20,0,0,0,0,win,Thomas Almeida,Bantamweight,KO/TKO Flying Knee,2,0:29
Matt Brown,Tim Means,"July 11, 2015","Las Vegas, Nevada, USA",Marc Goddard,0,0,25,16,1,0,1,0,win,Matt Brown,Welterweight,SUB Guillotine Choke,1,4:44
Alex Garcia,Mike Swick,"July 11, 2015","Las Vegas, Nevada, USA",Herb Dean,0,0,24,19,5,0,0,0,win,Alex Garcia,Welterweight,U-DEC,3,5:00
John Howard,Cathal Pendred,"July 11, 2015","Las Vegas, Nevada, USA",John McCarthy,0,0,48,45,0,0,0,1,win,John Howard,Welterweight,S-DEC,3,5:00
Cody Garbrandt,Henry Briones,"July 11, 2015","Las Vegas, Nevada, USA",Chris Tognoni,1,0,64,35,3,0,0,0,win,Cody Garbrandt,Bantamweight,U-DEC,3,5:00
Louis Smolka,Neil Seery,"July 11, 2015","Las Vegas, Nevada, USA",Marc Goddard,0,1,23,21,6,0,5,3,win,Louis Smolka,Flyweight,U-DEC,3,5:00
Cody Pfister,Yosdenis Cedeno,"July 11, 2015","Las Vegas, Nevada, USA",Chris Tognoni,0,0,15,26,5,0,0,1,win,Cody Pfister,Lightweight,U-DEC,3,5:00
Yoel Romero,Lyoto Machida,"June 27, 2015","Hollywood, Florida, USA",John McCarthy,0,0,42,31,1,0,0,0,win,Yoel Romero,Middleweight,KO/TKO Elbows,3,1:38
Lorenz Larkin,Santiago Ponzinibbio,"June 27, 2015","Hollywood, Florida, USA",Herb Dean,1,0,64,33,0,0,0,0,win,Lorenz Larkin,Welterweight,KO/TKO Punches,2,3:07
Antonio Carlos Junior,Eddie Gordon,"June 27, 2015","Hollywood, Florida, USA",Jorge Alonso,0,0,40,12,4,0,1,0,win,Antonio Carlos Junior,Middleweight,SUB Rear Naked Choke,3,4:37
Thiago Santos,Steve Bosse,"June 27, 2015","Hollywood, Florida, USA",James Warring,1,0,3,0,0,0,0,0,win,Thiago Santos,Middleweight,KO/TKO Kick,1,0:29
Hacran Dias,Levan Makashvili,"June 27, 2015","Hollywood, Florida, USA",John McCarthy,0,0,17,37,3,2,1,0,win,Hacran Dias,Featherweight,S-DEC,3,5:00
Alex Oliveira,Joe Merritt,"June 27, 2015","Hollywood, Florida, USA",Herb Dean,0,0,11,23,5,0,2,0,win,Alex Oliveira,Welterweight,U-DEC,3,5:00
Leandro Silva,Lewis Gonzalez,"June 27, 2015","Hollywood, Florida, USA",Jorge Alonso,0,0,28,21,3,2,0,0,win,Leandro Silva,Welterweight,U-DEC,3,5:00
Tony Sims,Steve Montgomery,"June 27, 2015","Hollywood, Florida, USA",James Warring,1,0,10,9,0,0,0,0,win,Tony Sims,Welterweight,KO/TKO Punch,1,2:43
Sirwan Kakai,Danny Martinez,"June 27, 2015","Hollywood, Florida, USA",John McCarthy,1,0,52,59,5,0,0,0,win,Sirwan Kakai,Bantamweight,U-DEC,3,5:00
Joanna Jedrzejczyk,Jessica Penne,"June 20, 2015","Berlin, Berlin, Germany",Marc Goddard,0,0,126,25,0,0,0,0,win,Joanna Jedrzejczyk,Women's Strawweight,KO/TKO Punches,3,4:22
Tatsuya Kawajiri,Dennis Siver,"June 20, 2015","Berlin, Berlin, Germany",Leon Roberts,0,0,22,22,4,0,0,1,win,Tatsuya Kawajiri,Featherweight,U-DEC,3,5:00
Peter Sobotta,Steve Kennedy,"June 20, 2015","Berlin, Berlin, Germany",Wolf Menninger,0,0,6,3,2,0,1,0,win,Peter Sobotta,Welterweight,SUB Rear Naked Choke,1,2:57
Nick Hein,Lukasz Sajewski,"June 20, 2015","Berlin, Berlin, Germany",Kevin Sataki,0,0,54,26,1,0,0,0,win,Nick Hein,Lightweight,U-DEC,3,5:00
Makwan Amirkhani,Masio Fullen,"June 20, 2015","Berlin, Berlin, Germany",Leon Roberts,0,0,0,1,1,0,2,0,win,Makwan Amirkhani,Featherweight,SUB Rear Naked Choke,1,1:41
Mairbek Taisumov,Alan Patrick,"June 20, 2015","Berlin, Berlin, Germany",Kevin Sataki,1,0,23,17,0,0,0,0,win,Mairbek Taisumov,Lightweight,KO/TKO Kick,2,1:30
Arnold Allen,Alan Omer,"June 20, 2015","Berlin, Berlin, Germany",Wolf Menninger,0,0,23,35,1,2,1,0,win,Arnold Allen,Featherweight,SUB Guillotine Choke,3,1:41
Noad Lahat,Niklas Backstrom,"June 20, 2015","Berlin, Berlin, Germany",Marc Goddard,0,0,62,11,1,4,1,1,win,Noad Lahat,Featherweight,M-DEC,3,5:00
Scott Askham,Antonio Dos Santos,"June 20, 2015","Berlin, Berlin, Germany",Leon Roberts,2,0,11,11,0,0,0,0,win,Scott Askham,Middleweight,KO/TKO Punch,1,2:52
Magomed Mustafaev,Piotr Hallmann,"June 20, 2015","Berlin, Berlin, Germany",Kevin Sataki,0,0,18,29,0,2,0,0,win,Magomed Mustafaev,Lightweight,KO/TKO,2,3:24
Taylor Lapilus,Yuta Sasaki,"June 20, 2015","Berlin, Berlin, Germany",Wolf Menninger,1,0,31,16,0,1,0,0,win,Taylor Lapilus,Bantamweight,KO/TKO Punches,2,1:26
Fabricio Werdum,Cain Velasquez,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Herb Dean,0,0,96,88,1,4,1,0,win,Fabricio Werdum,Heavyweight,SUB Guillotine Choke,3,2:13
Eddie Alvarez,Gilbert Melendez,"June 13, 2015","Mexico City, Distrito Federal, Mexico",John McCarthy,0,0,31,37,3,0,0,0,win,Eddie Alvarez,Lightweight,S-DEC,3,5:00
Kelvin Gastelum,Nate Marquardt,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Dan Miragliotta,0,0,59,18,1,0,0,0,win,Kelvin Gastelum,Middleweight,KO/TKO,2,5:00
Yair Rodriguez,Charles Rosa,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Mario Yamasaki,0,0,56,39,1,5,2,0,win,Yair Rodriguez,Featherweight,S-DEC,3,5:00
Tecia Pennington,Angela Hill,"June 13, 2015","Mexico City, Distrito Federal, Mexico",John McCarthy,0,0,32,27,2,0,0,0,win,Tecia Pennington,Women's Strawweight,U-DEC,3,5:00
Henry Cejudo,Chico Camus,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Mario Yamasaki,0,0,62,48,1,0,0,0,win,Henry Cejudo,Flyweight,U-DEC,3,5:00
Efrain Escudero,Drew Dober,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Herb Dean,0,0,1,0,0,0,1,0,win,Efrain Escudero,Lightweight,SUB Guillotine Choke,1,0:54
Patrick Williams,Alejandro Perez,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Dan Miragliotta,1,0,2,0,0,0,1,0,win,Patrick Williams,Bantamweight,SUB Guillotine Choke,1,0:23
Johnny Case,Francisco Trevino,"June 13, 2015","Mexico City, Distrito Federal, Mexico",John McCarthy,0,0,40,34,4,0,0,0,win,Johnny Case,Lightweight,U-DEC,3,5:00
Cathal Pendred,Augusto Montano,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Herb Dean,0,0,17,21,4,0,0,0,win,Cathal Pendred,Welterweight,U-DEC,3,5:00
Gabriel Benitez,Clay Collard,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Mario Yamasaki,0,0,60,34,0,6,1,0,win,Gabriel Benitez,Featherweight,U-DEC,3,5:00
Dan Henderson,Tim Boetsch,"June 06, 2015","New Orleans, Louisiana, USA",John McCarthy,1,0,12,3,0,0,0,0,win,Dan Henderson,Middleweight,KO/TKO Punch,1,0:28
Ben Rothwell,Matt Mitrione,"June 06, 2015","New Orleans, Louisiana, USA",Dan Miragliotta,0,0,5,8,0,0,1,0,win,Ben Rothwell,Heavyweight,SUB Guillotine Choke,1,1:54
Dustin Poirier,Yancy Medeiros,"June 06, 2015","New Orleans, Louisiana, USA",John McCarthy,2,0,27,6,1,0,1,0,win,Dustin Poirier,Lightweight,KO/TKO Punches,1,2:38
Brian Ortega,Thiago Tavares,"June 06, 2015","New Orleans, Louisiana, USA",Dan Miragliotta,1,0,41,39,0,6,1,0,win,Brian Ortega,Featherweight,KO/TKO Punch,3,4:10
Anthony Birchak,Joe Soto,"June 06, 2015","New Orleans, Louisiana, USA",John McCarthy,2,0,16,1,0,0,0,0,win,Anthony Birchak,Bantamweight,KO/TKO Punch,1,1:37
Francisco Rivera,Alex Caceres,"June 06, 2015","New Orleans, Louisiana, USA",Dan Miragliotta,1,0,5,0,0,0,0,0,win,Francisco Rivera,Bantamweight,KO/TKO Punch,1,0:21
Shawn Jordan,Derrick Lewis,"June 06, 2015","New Orleans, Louisiana, USA",Gabe Barahona,1,0,23,6,3,0,0,0,win,Shawn Jordan,Heavyweight,KO/TKO Kick,2,0:48
Omari Akhmedov,Brian Ebersole,"June 06, 2015","New Orleans, Louisiana, USA",Jordan Bass,0,0,15,2,0,0,0,0,win,Omari Akhmedov,Welterweight,KO/TKO,1,5:00
Chris Wade,Christos Giagos,"June 06, 2015","New Orleans, Louisiana, USA",Robbie Scheureumann,0,0,32,28,4,0,0,0,win,Chris Wade,Lightweight,U-DEC,3,5:00
Joe Proctor,Justin Edwards,"June 06, 2015","New Orleans, Louisiana, USA",Myron Gaudet,0,0,67,63,0,2,3,0,win,Joe Proctor,Lightweight,SUB Guillotine Choke,3,4:58
Jake Collier,Ricardo Abreu,"June 06, 2015","New Orleans, Louisiana, USA",Jordan Bass,0,0,67,47,0,3,0,0,win,Jake Collier,Middleweight,S-DEC,3,5:00
Jose Quinonez,Leonardo Morales,"June 06, 2015","New Orleans, Louisiana, USA",Robbie Scheureumann,0,0,2,3,1,0,2,0,win,Jose Quinonez,Bantamweight,SUB Rear Naked Choke,1,2:34
Carlos Condit,Thiago Alves,"May 30, 2015","Goiania, Goias, Brazil",Mario Yamasaki,1,0,75,34,2,0,0,1,win,Carlos Condit,Welterweight,KO/TKO,2,5:00
Charles Oliveira,Nik Lentz,"May 30, 2015","Goiania, Goias, Brazil",Kevin MacDonald,1,0,64,37,1,2,2,1,win,Charles Oliveira,Featherweight,SUB Guillotine Choke,3,1:10
Alex Oliveira,KJ Noons,"May 30, 2015","Goiania, Goias, Brazil",Mario Yamasaki,0,0,3,7,3,0,1,0,win,Alex Oliveira,Welterweight,SUB Rear Naked Choke,1,2:51
Francimar Barroso,Ryan Jimmo,"May 30, 2015","Goiania, Goias, Brazil",Kevin MacDonald,0,0,46,35,0,0,0,0,win,Francimar Barroso,Light Heavyweight,U-DEC,3,5:00
Francisco Trinaldo,Norman Parke,"May 30, 2015","Goiania, Goias, Brazil",Camila Albuquerque,0,0,66,25,0,4,0,0,win,Francisco Trinaldo,Lightweight,U-DEC,3,5:00
Darren Till,Wendell Oliveira Marques,"May 30, 2015","Goiania, Goias, Brazil",Fernando Yamasaki,0,0,25,22,0,0,0,0,win,Darren Till,Welterweight,KO/TKO Elbows,2,1:37
Rony Jason,Damon Jackson,"May 30, 2015","Goiania, Goias, Brazil",Kevin MacDonald,0,0,5,5,0,3,1,0,"nc


nc",Damon Jackson,Featherweight,Overturned Triangle Choke,1,3:31
Jussier Formiga,Wilson Reis,"May 30, 2015","Goiania, Goias, Brazil",Camila Albuquerque,1,0,21,28,4,0,0,0,win,Jussier Formiga,Flyweight,U-DEC,3,5:00
Nicolas Dalby,Elizeu Zaleski dos Santos,"May 30, 2015","Goiania, Goias, Brazil",Fernando Yamasaki,0,0,41,57,6,0,0,0,win,Nicolas Dalby,Welterweight,S-DEC,3,5:00
Mirsad Bektic,Lucas Martins,"May 30, 2015","Goiania, Goias, Brazil",Mario Yamasaki,1,0,39,7,3,0,0,0,win,Mirsad Bektic,Featherweight,KO/TKO Punches,2,0:30
Juliana Lima,Ericka Almeida,"May 30, 2015","Goiania, Goias, Brazil",Camila Albuquerque,0,0,41,13,3,0,0,0,win,Juliana Lima,Women's Strawweight,U-DEC,3,5:00
Tom Breese,Luiz Dutra,"May 30, 2015","Goiania, Goias, Brazil",Fernando Yamasaki,1,0,26,21,0,0,0,0,win,Tom Breese,Welterweight,KO/TKO Punches,1,4:58
Daniel Cormier,Anthony Johnson,"May 23, 2015","Las Vegas, Nevada, USA",John McCarthy,0,1,23,23,3,1,3,0,win,Daniel Cormier,Light Heavyweight,SUB Rear Naked Choke,3,2:39
Chris Weidman,Vitor Belfort,"May 23, 2015","Las Vegas, Nevada, USA",Herb Dean,0,0,46,18,1,0,0,0,win,Chris Weidman,Middleweight,KO/TKO Punches,1,2:53
Donald Cerrone,John Makdessi,"May 23, 2015","Las Vegas, Nevada, USA",Jason Herzog,0,0,71,72,0,0,0,0,win,Donald Cerrone,Lightweight,KO/TKO Kick,2,4:44
Andrei Arlovski,Travis Browne,"May 23, 2015","Las Vegas, Nevada, USA",Mark Smith,1,1,51,15,0,0,0,0,win,Andrei Arlovski,Heavyweight,KO/TKO Punches,1,4:41
Joseph Benavidez,John Moraga,"May 23, 2015","Las Vegas, Nevada, USA",John McCarthy,0,0,63,42,4,0,0,0,win,Joseph Benavidez,Flyweight,U-DEC,3,5:00
John Dodson,Zach Makovsky,"May 23, 2015","Las Vegas, Nevada, USA",Herb Dean,0,0,31,37,2,0,0,0,win,John Dodson,Flyweight,U-DEC,3,5:00
Dong Hyun Kim,Joshua Burkman,"May 23, 2015","Las Vegas, Nevada, USA",Jason Herzog,0,0,30,20,1,0,1,0,win,Dong Hyun Kim,Welterweight,SUB Arm Triangle,3,2:13
Rafael Natal,Uriah Hall,"May 23, 2015","Las Vegas, Nevada, USA",Mark Smith,0,0,45,43,1,1,0,0,win,Rafael Natal,Middleweight,S-DEC,3,5:00
Colby Covington,Mike Pyle,"May 23, 2015","Las Vegas, Nevada, USA",Herb Dean,0,0,26,16,2,0,0,2,win,Colby Covington,Welterweight,U-DEC,3,5:00
Islam Makhachev,Leo Kuntz,"May 23, 2015","Las Vegas, Nevada, USA",,0,0,32,7,3,0,1,0,win,Islam Makhachev,Lightweight,SUB Rear Naked Choke,2,2:38
Justin Scoggins,Josh Sampo,"May 23, 2015","Las Vegas, Nevada, USA",Mark Smith,0,0,64,35,1,1,0,0,win,Justin Scoggins,Flyweight,U-DEC,3,5:00
Frankie Edgar,Urijah Faber,"May 16, 2015","Manila, Philippines",Steve Perceval,0,0,83,48,5,0,0,0,win,Frankie Edgar,Featherweight,U-DEC,5,5:00
Gegard Mousasi,Constantinos Philippou,"May 16, 2015","Manila, Philippines",Greg Kleynjans,0,0,56,9,4,0,0,0,win,Gegard Mousasi,Middleweight,U-DEC,3,5:00
Mark Munoz,Luke Barnatt,"May 16, 2015","Manila, Philippines",Terry Hill,0,0,35,42,9,1,0,0,win,Mark Munoz,Middleweight,U-DEC,3,5:00
Neil Magny,Hyun Gyu Lim,"May 16, 2015","Manila, Philippines",Steve Perceval,0,0,43,15,2,0,0,0,win,Neil Magny,Welterweight,KO/TKO Punches,2,1:24
Phillipe Nover,Yui Chul Nam,"May 16, 2015","Manila, Philippines",Greg Kleynjans,0,0,12,29,6,2,0,1,win,Phillipe Nover,Featherweight,S-DEC,3,5:00
Levan Makashvili,Mark Eddiva,"May 16, 2015","Manila, Philippines",Terry Hill,0,0,27,32,7,0,0,0,win,Levan Makashvili,Featherweight,S-DEC,3,5:00
Jon Tuck,Tae Hyun Bang,"May 16, 2015","Manila, Philippines",,1,0,13,12,0,1,1,0,win,Jon Tuck,Lightweight,SUB Rear Naked Choke,1,3:56
Kajan Johnson,Zhang Lipeng,"May 16, 2015","Manila, Philippines",Greg Kleynjans,0,0,20,20,3,1,1,0,win,Kajan Johnson,Lightweight,U-DEC,3,5:00
Li Jingliang,Dhiego Lima,"May 16, 2015","Manila, Philippines",Terry Hill,1,0,13,6,0,0,0,0,win,Li Jingliang,Welterweight,KO/TKO Punches,1,1:25
Guangyou Ning,Royston Wee,"May 16, 2015","Manila, Philippines",Steve Perceval,0,0,46,18,2,0,0,0,win,Guangyou Ning,Bantamweight,KO/TKO Punch,2,4:59
Jon Delos Reyes,Roldan Sangcha'an,"May 16, 2015","Manila, Philippines",Greg Kleynjans,1,0,23,27,1,2,3,0,win,Jon Delos Reyes,Flyweight,SUB Rear Naked Choke,2,3:13
Yao Zhikui,Nolan Ticman,"May 16, 2015","Manila, Philippines",Terry Hill,0,0,9,52,1,0,0,0,win,Yao Zhikui,Flyweight,S-DEC,3,5:00
Stipe Miocic,Mark Hunt,"May 09, 2015","Adelaide, South Australia, Australia",John Sharp,0,0,113,33,6,0,0,0,win,Stipe Miocic,Heavyweight,KO/TKO Punches,5,2:47
Robert Whittaker,Brad Tavares,"May 09, 2015","Adelaide, South Australia, Australia",Steve Perceval,1,0,10,2,0,0,0,0,win,Robert Whittaker,Middleweight,KO/TKO Punch,1,0:44
Sean O'Connell,Anthony Perosh,"May 09, 2015","Adelaide, South Australia, Australia",Greg Kleynjans,0,0,20,3,0,0,0,0,win,Sean O'Connell,Light Heavyweight,KO/TKO Punches,1,0:56
James Vick,Jake Matthews,"May 09, 2015","Adelaide, South Australia, Australia",Steve Perceval,0,0,10,4,0,1,1,0,win,James Vick,Lightweight,SUB Guillotine Choke,1,4:53
Dan Hooker,Hatsu Hioki,"May 09, 2015","Adelaide, South Australia, Australia",John Sharp,1,0,21,32,0,2,0,0,win,Dan Hooker,Featherweight,KO/TKO Kick,2,4:13
Kyle Noke,Jonavin Webb,"May 09, 2015","Adelaide, South Australia, Australia",Greg Kleynjans,0,1,31,23,0,2,0,2,win,Kyle Noke,Welterweight,S-DEC,3,5:00
Sam Alvey,Daniel Kelly,"May 09, 2015","Adelaide, South Australia, Australia",Steve Perceval,1,0,8,2,0,0,0,0,win,Sam Alvey,Middleweight,KO/TKO Punch,1,0:49
Bec Rawlings,Lisa Ellis,"May 09, 2015","Adelaide, South Australia, Australia",John Sharp,0,0,21,7,0,1,1,0,win,Bec Rawlings,Women's Strawweight,SUB Rear Naked Choke,1,4:09
Brad Scott,Dylan Andrews,"May 09, 2015","Adelaide, South Australia, Australia",Greg Kleynjans,0,2,42,25,1,1,1,1,win,Brad Scott,Middleweight,SUB Guillotine Choke,2,4:54
Alex Chambers,Kailin Curran,"May 09, 2015","Adelaide, South Australia, Australia",Steve Perceval,0,0,44,81,2,2,2,0,win,Alex Chambers,Women's Strawweight,SUB Armbar,3,3:15
Brendan O'Reilly,Vik Grujic,"May 09, 2015","Adelaide, South Australia, Australia",John Sharp,0,0,42,59,6,1,1,1,win,Brendan O'Reilly,Welterweight,U-DEC,3,5:00
Ben Nguyen,Alptekin Ozkilic,"May 09, 2015","Adelaide, South Australia, Australia",Greg Kleynjans,2,0,27,15,0,1,0,0,win,Ben Nguyen,Flyweight,KO/TKO Punch,1,4:59
Demetrious Johnson,Kyoji Horiguchi,"April 25, 2015","Montreal, Quebec, Canada",Yves Lavigne,0,0,66,31,14,1,1,0,win,Demetrious Johnson,Flyweight,SUB Armbar,5,4:59
Quinton Jackson,Fabio Maldonado,"April 25, 2015","Montreal, Quebec, Canada",Marc Goddard,0,0,99,67,0,1,0,0,win,Quinton Jackson,Catch Weight,U-DEC,3,5:00
Michael Bisping,CB Dollaway,"April 25, 2015","Montreal, Quebec, Canada",Jerin Valel,0,1,75,47,0,2,0,0,win,Michael Bisping,Middleweight,U-DEC,3,5:00
John Makdessi,Shane Campbell,"April 25, 2015","Montreal, Quebec, Canada",Philippe Chartier,2,0,47,25,0,0,0,0,win,John Makdessi,Catch Weight,KO/TKO Punch,1,4:53
Thomas Almeida,Yves Jabouin,"April 25, 2015","Montreal, Quebec, Canada",Yves Lavigne,0,0,31,20,0,1,0,0,win,Thomas Almeida,Bantamweight,KO/TKO Punches,1,4:18
Patrick Cote,Joe Riggs,"April 25, 2015","Montreal, Quebec, Canada",Marc Goddard,0,0,21,21,3,2,1,0,win,Patrick Cote,Welterweight,U-DEC,3,5:00
Alexis Davis,Sarah Kaufman,"April 25, 2015","Montreal, Quebec, Canada",Jerin Valel,0,0,34,65,1,0,1,0,win,Alexis Davis,Women's Bantamweight,SUB Armbar,2,3:07
Chad Laprise,Bryan Barberena,"April 25, 2015","Montreal, Quebec, Canada",Philippe Chartier,0,0,84,94,0,1,0,0,win,Chad Laprise,Lightweight,U-DEC,3,5:00
Olivier Aubin-Mercier,David Michaud,"April 25, 2015","Montreal, Quebec, Canada",Yves Lavigne,1,0,49,17,3,0,1,0,win,Olivier Aubin-Mercier,Lightweight,SUB Rear Naked Choke,3,1:35
Nordine Taleb,Chris Clements,"April 25, 2015","Montreal, Quebec, Canada",Marc Goddard,0,0,36,17,6,0,0,1,win,Nordine Taleb,Welterweight,U-DEC,3,5:00
Valerie Letourneau,Jessica Rakoczy,"April 25, 2015","Montreal, Quebec, Canada",Jerin Valel,0,0,38,46,2,1,2,1,win,Valerie Letourneau,Women's Strawweight,U-DEC,3,5:00
Randa Markos,Aisling Daly,"April 25, 2015","Montreal, Quebec, Canada",Philippe Chartier,0,0,18,27,2,2,1,1,win,Randa Markos,Women's Strawweight,U-DEC,3,5:00
Luke Rockhold,Lyoto Machida,"April 18, 2015","Newark, New Jersey, USA",Keith Peterson,0,0,23,13,1,0,2,0,win,Luke Rockhold,Middleweight,SUB Rear Naked Choke,2,2:31
